userid,actions,timestamp,clientIP,date,cohort,isBirth
12591,c2VhcmNoX3Byb2R1Y3Q=,1577808469,MTA4LjMyLjI1NC4xOTI=,2019-12-31 00:00:00,MTA4LjMyLjI1NC4xOTI=_2020-01-01_bW9kaWZ5X3Bhc3N3b3Jk,0
12591,c2VhcmNoX3Byb2R1Y3Q=,1577809694,MTA4LjMyLjI1NC4xOTI=,2019-12-31 00:00:00,MTA4LjMyLjI1NC4xOTI=_2020-01-01_bW9kaWZ5X3Bhc3N3b3Jk,0
12591,c2VhcmNoX3Byb2R1Y3Q=,1577818585,MTA4LjMyLjI1NC4xOTI=,2019-12-31 00:00:00,MTA4LjMyLjI1NC4xOTI=_2020-01-01_bW9kaWZ5X3Bhc3N3b3Jk,0
12591,aG9tZQ==,1577819054,MTA4LjMyLjI1NC4xOTI=,2019-12-31 00:00:00,MTA4LjMyLjI1NC4xOTI=_2020-01-01_bW9kaWZ5X3Bhc3N3b3Jk,0
12591,c2VhcmNoX3Byb2R1Y3Q=,1577820460,MTA4LjMyLjI1NC4xOTI=,2019-12-31 00:00:00,MTA4LjMyLjI1NC4xOTI=_2020-01-01_bW9kaWZ5X3Bhc3N3b3Jk,0
12591,c2VhcmNoX3Byb2R1Y3Q=,1577822518,MTA4LjMyLjI1NC4xOTI=,2019-12-31 00:00:00,MTA4LjMyLjI1NC4xOTI=_2020-01-01_bW9kaWZ5X3Bhc3N3b3Jk,0
12591,c2VhcmNoX3Byb2R1Y3Q=,1577823945,MTA4LjMyLjI1NC4xOTI=,2019-12-31 00:00:00,MTA4LjMyLjI1NC4xOTI=_2020-01-01_bW9kaWZ5X3Bhc3N3b3Jk,0
12591,c2VhcmNoX3Byb2R1Y3Q=,1577830115,MTA4LjMyLjI1NC4xOTI=,2019-12-31 00:00:00,MTA4LjMyLjI1NC4xOTI=_2020-01-01_bW9kaWZ5X3Bhc3N3b3Jk,0
12591,c2VhcmNoX3Byb2R1Y3Q=,1577833579,MTA4LjMyLjI1NC4xOTI=,2019-12-31 00:00:00,MTA4LjMyLjI1NC4xOTI=_2020-01-01_bW9kaWZ5X3Bhc3N3b3Jk,0
12591,c2VhcmNoX3Byb2R1Y3Q=,1577834488,MTA4LjMyLjI1NC4xOTI=,2019-12-31 00:00:00,MTA4LjMyLjI1NC4xOTI=_2020-01-01_bW9kaWZ5X3Bhc3N3b3Jk,0
12591,c2VhcmNoX3Byb2R1Y3Q=,1577835016,MTA4LjMyLjI1NC4xOTI=,2019-12-31 00:00:00,MTA4LjMyLjI1NC4xOTI=_2020-01-01_bW9kaWZ5X3Bhc3N3b3Jk,0
12591,c2VhcmNoX3Byb2R1Y3Q=,1577838930,MTA4LjMyLjI1NC4xOTI=,2020-01-01 00:00:00,MTA4LjMyLjI1NC4xOTI=_2020-01-01_bW9kaWZ5X3Bhc3N3b3Jk,0
12591,aG9tZQ==,1577840833,MTA4LjMyLjI1NC4xOTI=,2020-01-01 00:00:00,MTA4LjMyLjI1NC4xOTI=_2020-01-01_bW9kaWZ5X3Bhc3N3b3Jk,0
12591,aG9tZQ==,1577841913,MTA4LjMyLjI1NC4xOTI=,2020-01-01 00:00:00,MTA4LjMyLjI1NC4xOTI=_2020-01-01_bW9kaWZ5X3Bhc3N3b3Jk,0
12591,c2VhcmNoX3Byb2R1Y3Q=,1577843723,MTA4LjMyLjI1NC4xOTI=,2020-01-01 00:00:00,MTA4LjMyLjI1NC4xOTI=_2020-01-01_bW9kaWZ5X3Bhc3N3b3Jk,0
12591,c2VhcmNoX3Byb2R1Y3Q=,1577845304,MTA4LjMyLjI1NC4xOTI=,2020-01-01 00:00:00,MTA4LjMyLjI1NC4xOTI=_2020-01-01_bW9kaWZ5X3Bhc3N3b3Jk,0
12591,c2VhcmNoX3Byb2R1Y3Q=,1577850386,MTA4LjMyLjI1NC4xOTI=,2020-01-01 00:00:00,MTA4LjMyLjI1NC4xOTI=_2020-01-01_bW9kaWZ5X3Bhc3N3b3Jk,0
