sessionId,playerId,role,money,event,eventDay,platform,country,continent,city,numSession,sessionLength
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,1638,launch,2013-05-20 00:00:00,3,Australia,OC,Sydney,1,0
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,1638,fight,2013-05-20 00:00:00,3,Australia,OC,Sydney,1,0
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,1638,fight,2013-05-20 00:00:00,3,Australia,OC,Sydney,1,0
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,1638,fight,2013-05-21 00:00:00,3,Australia,OC,Sydney,2,17
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,1641,fight,2013-05-21 00:00:00,3,Australia,OC,Sydney,2,17
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,1641,fight,2013-05-21 00:00:00,3,Australia,OC,Sydney,2,17
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,1891,dungeon,2013-05-21 00:00:00,3,Australia,OC,Sydney,2,17
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,1891,dungeonstats,2013-05-21 00:00:00,3,Australia,OC,Sydney,2,17
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,1891,dungeonstats,2013-05-21 00:00:00,3,Australia,OC,Sydney,2,17
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,1891,inventory,2013-05-21 00:00:00,3,Australia,OC,Sydney,2,17
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,1891,inventory.shop,2013-05-21 00:00:00,3,Australia,OC,Sydney,2,17
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,1891,inventory.inventory,2013-05-21 00:00:00,3,Australia,OC,Sydney,2,17
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,1891,inventory.shop,2013-05-21 00:00:00,3,Australia,OC,Sydney,2,17
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,491,inventory.repair,2013-05-21 00:00:00,3,Australia,OC,Sydney,2,17
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,491,inventory.inventory,2013-05-21 00:00:00,3,Australia,OC,Sydney,2,17
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,491,inventory,2013-05-21 00:00:00,3,Australia,OC,Sydney,2,17
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,491,selectdungeonspackage,2013-05-21 00:00:00,3,Australia,OC,Sydney,2,17
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,491,selectdungeon,2013-05-21 00:00:00,3,Australia,OC,Sydney,2,17
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,491,selectdungeon,2013-05-21 00:00:00,3,Australia,OC,Sydney,2,17
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,491,selectdungeonspackage,2013-05-21 00:00:00,3,Australia,OC,Sydney,2,17
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,491,dungeon,2013-05-21 00:00:00,3,Australia,OC,Sydney,2,17
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,491,dungeonmenu,2013-05-21 00:00:00,3,Australia,OC,Sydney,2,17
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,491,dungeonmenu,2013-05-21 00:00:00,3,Australia,OC,Sydney,2,17
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,491,fight,2013-05-21 00:00:00,3,Australia,OC,Sydney,2,17
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,491,fight,2013-05-21 00:00:00,3,Australia,OC,Sydney,2,17
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,491,fight,2013-05-21 00:00:00,3,Australia,OC,Sydney,2,17
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,491,fight,2013-05-21 00:00:00,3,Australia,OC,Sydney,2,17
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,491,fight,2013-05-21 00:00:00,3,Australia,OC,Sydney,2,17
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,491,fight,2013-05-21 00:00:00,3,Australia,OC,Sydney,2,17
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,516,fight,2013-05-21 00:00:00,3,Australia,OC,Sydney,2,17
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,516,fight,2013-05-21 00:00:00,3,Australia,OC,Sydney,2,17
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,526,fight,2013-05-21 00:00:00,3,Australia,OC,Sydney,2,17
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,526,fight,2013-05-21 00:00:00,3,Australia,OC,Sydney,2,17
fd1ec667-75a4-415d-a250-8fbb71be7cab,43e3e0d84da1056,stonegolem,526,fight,2013-05-21 00:00:00,3,Australia,OC,Sydney,2,17
